town,flat_type,flat_model,floor_area_sqm,street_name,resale_price,month,remaining_lease,lease_commence_date,storey_range,_id,block,time,lease_years,lease_years_int,size_sqft,cost_psf,days_ago,storey_min,storey_max,storey_mid,full_name,group_count,group_storey_min,group_storey_max,storey_rank,group_cost_psf_max,group_cost_psf_max_date,year
SENGKANG,5 ROOM,Improved,110.0,COMPASSVALE CRES,500000.0,2013-01,,2001,07 TO 09,21081,290B,2013-01-01,87.49178082191781,87,1184.029,422.2869541202116,-3532,7,9,8.0,COMPASSVALE CRES 2001,128,2,15,0.4615384615384615,472.961388614637,2022-09-01,2013
SENGKANG,4 ROOM,Premium Apartment,92.0,FERNVALE LANE,498888.0,2013-01,,2004,07 TO 09,21080,403D,2013-01-01,90.4917808219178,90,990.2788,503.785398617036,-3532,7,9,8.0,FERNVALE LANE 2004,682,2,27,0.24,510.1377222541485,2013-02-01,2013
SENGKANG,5 ROOM,Improved,115.0,RIVERVALE DR,497000.0,2013-01,,2000,07 TO 09,21079,188C,2013-01-01,86.48904109589041,86,1237.8485,401.503091856556,-3532,7,9,8.0,RIVERVALE DR 2000,1769,2,20,0.3333333333333333,494.40622176300246,2022-06-01,2013
SENGKANG,4 ROOM,Model A,104.0,RIVERVALE WALK,492888.0,2013-01,,1999,13 TO 15,21078,105,2013-01-01,85.48904109589041,85,1119.4456,440.2965182050829,-3532,13,15,14.0,RIVERVALE WALK 1999,782,2,20,0.6666666666666666,531.7903298093147,2022-08-01,2013
SENGKANG,5 ROOM,Improved,110.0,RIVERVALE DR,491000.0,2013-01,,2000,04 TO 06,21077,121A,2013-01-01,86.48904109589041,86,1184.029,414.68578894604775,-3532,4,6,5.0,RIVERVALE DR 2000,1769,2,20,0.1666666666666666,494.40622176300246,2022-06-01,2013
SENGKANG,4 ROOM,Model A,102.0,COMPASSVALE WALK,490000.0,2013-01,,1999,13 TO 15,21076,223A,2013-01-01,85.48904109589041,85,1097.9178,446.29934955057655,-3532,13,15,14.0,COMPASSVALE WALK 1999,1774,2,20,0.6666666666666666,534.3577188236039,2022-07-01,2013
SENGKANG,5 ROOM,Improved,110.0,COMPASSVALE ST,490000.0,2013-01,,2002,04 TO 06,21075,291B,2013-01-01,88.49178082191781,88,1184.029,413.8412150378073,-3532,4,6,5.0,COMPASSVALE ST 2002,270,2,15,0.2307692307692307,495.48335950104826,2022-07-01,2013
SENGKANG,4 ROOM,Premium Apartment,92.0,FERNVALE LANE,487000.0,2013-01,,2004,19 TO 21,21074,403D,2013-01-01,90.4917808219178,90,990.2788,491.780698526516,-3532,19,21,20.0,FERNVALE LANE 2004,682,2,27,0.72,510.1377222541485,2013-02-01,2013
SENGKANG,4 ROOM,Model A,89.0,SENGKANG EAST WAY,425000.0,2013-01,,2000,01 TO 03,21046,121C,2013-01-01,86.48904109589041,86,957.9871,443.63854168808746,-3532,2,3,2.5,SENGKANG EAST WAY 2000,658,2,20,0.0277777777777777,578.0639194178897,2022-07-01,2013
SENGKANG,5 ROOM,Improved,120.0,RIVERVALE ST,485000.0,2013-01,,1999,01 TO 03,21072,141,2013-01-01,85.48904109589041,85,1291.668,375.48348337188816,-3532,2,3,2.5,RIVERVALE ST 1999,1073,2,20,0.0277777777777777,469.7349264932691,2013-03-01,2013
SENGKANG,4 ROOM,Model A,101.0,COMPASSVALE WALK,485000.0,2013-01,,1999,07 TO 09,21071,232,2013-01-01,85.48904109589041,85,1087.1539,446.1189901448176,-3532,7,9,8.0,COMPASSVALE WALK 1999,1774,2,20,0.3333333333333333,534.3577188236039,2022-07-01,2013
